Date,Price
14-Aug-23,82.14
13-Aug-23,82.9
11-Aug-23,83.19
10-Aug-23,82.82
09-Aug-23,84.4
08-Aug-23,82.92
07-Aug-23,81.94
04-Aug-23,82.82
03-Aug-23,81.55
02-Aug-23,79.49
01-Aug-23,81.37
31-Jul-23,81.8
28-Jul-23,80.58
27-Jul-23,80.09
26-Jul-23,78.78
25-Jul-23,79.63
24-Jul-23,78.74
21-Jul-23,77.07
20-Jul-23,75.63
19-Jul-23,75.35
18-Jul-23,75.75
17-Jul-23,74.15
14-Jul-23,75.42
13-Jul-23,76.89
12-Jul-23,75.75
11-Jul-23,74.83
10-Jul-23,72.99
07-Jul-23,73.86
06-Jul-23,71.8
05-Jul-23,71.79
04-Jul-23,71.06
03-Jul-23,69.79
30-Jun-23,70.64
29-Jun-23,69.86
28-Jun-23,69.56
27-Jun-23,67.7
26-Jun-23,69.37
23-Jun-23,69.16
22-Jun-23,69.51
21-Jun-23,72.53
20-Jun-23,70.5
19-Jun-23,71.31
18-Jun-23,71.47
16-Jun-23,71.78
15-Jun-23,70.62
14-Jun-23,68.27
13-Jun-23,69.42
12-Jun-23,67.12
09-Jun-23,70.17
08-Jun-23,71.29
07-Jun-23,72.53
06-Jun-23,71.74
05-Jun-23,72.15
02-Jun-23,71.74
01-Jun-23,70.1
31-May-23,68.09
30-May-23,69.46
29-May-23,72.87
28-May-23,73.22
26-May-23,72.67
25-May-23,71.83
24-May-23,74.34
23-May-23,72.91
22-May-23,71.99
19-May-23,71.55
18-May-23,71.86
17-May-23,72.83
16-May-23,70.86
15-May-23,71.11
12-May-23,70.04
11-May-23,70.87
10-May-23,72.56
09-May-23,73.71
08-May-23,73.16
05-May-23,71.34
04-May-23,68.56
03-May-23,68.6
02-May-23,71.66
01-May-23,75.66
28-Apr-23,76.78
27-Apr-23,74.76
26-Apr-23,74.3
25-Apr-23,77.07
24-Apr-23,78.76
21-Apr-23,77.87
20-Apr-23,77.29
19-Apr-23,79.16
18-Apr-23,80.86
17-Apr-23,80.83
14-Apr-23,82.52
13-Apr-23,82.16
12-Apr-23,83.26
11-Apr-23,81.53
10-Apr-23,79.74
06-Apr-23,80.7
05-Apr-23,80.61
04-Apr-23,80.71
03-Apr-23,80.42
31-Mar-23,75.67
30-Mar-23,74.37
29-Mar-23,72.97
28-Mar-23,73.2
27-Mar-23,72.81
24-Mar-23,69.26
23-Mar-23,69.96
22-Mar-23,70.9
21-Mar-23,69.33
20-Mar-23,67.64
17-Mar-23,66.74
16-Mar-23,68.35
15-Mar-23,67.61
14-Mar-23,71.33
13-Mar-23,74.8
10-Mar-23,76.68
09-Mar-23,75.72
08-Mar-23,76.66
07-Mar-23,77.58
06-Mar-23,80.46
03-Mar-23,79.68
02-Mar-23,78.16
01-Mar-23,77.69
28-Feb-23,77.05
27-Feb-23,75.68
24-Feb-23,76.32
23-Feb-23,75.39
22-Feb-23,73.95
21-Feb-23,76.16
20-Feb-23,77.3
19-Feb-23,76.67
17-Feb-23,76.34
16-Feb-23,78.49
15-Feb-23,78.59
14-Feb-23,79.06
13-Feb-23,80.14
09-Feb-23,78.06
10-Feb-23,79.72
08-Feb-23,78.47
07-Feb-23,77.14
06-Feb-23,74.11
03-Feb-23,73.39
